Nightwish,Amaranth
Within Temptation,Ice Queen
Kamelot,Ghost Opera
Epica,Never Enough
Angels of Darkness,Gargoyles
Manowar,Warriors of the World United
DragonForce,Through the Fire and Flames
Stratovarius,Black Diamond
Symphony X,Domination
Trans-Siberian Orchestra,Christmas Eve/Sarajevo 12/24
Nightwish,Nemo
Within Temptation,Stand My Ground
Kamelot,March of Mephisto
Rhapsody,Dawn Of Victory
Blind Guardian,The Ninth Wave
Stratovarius,Hunting High And Low
Apocalyptica, S.O.S. (Anything but Love)
Epica,The Phantom Agony
Savatage,Edge of Thorns
Dragonland,Through Elven Woods and Dwarven Mines
Symphony X,Set the World on Fire (The Lie of Lies)
Nightwish,Bye Bye Beautiful
Edenbridge,Shadowplay
Kamelot,The Haunting (Somewhere In Time)
Rhapsody,Emerald Sword
Manowar,Sons of Odin
Stratovarius,Eagleheart
Epica,Chasing the Dragon
Within Temptation,What Have You Done
Rhapsody of Fire,Triumph or Agony
Therion,The Siren of the Woods
HolyHell,The Phantom of the Opera
Edenbridge,The Grand Design
Within Temptation,Frozen
Symphony X,The Accolade
Savatage,Gutter Ballet
DragonForce,Operation Ground and Pound
Nightwish,Storytime
Mechanical Poet,Swamp-Stamp-Polka
Nightwish,Ghost Love Score
Trans-Siberian Orchestra,A Mad Russian's Christmas
Divinefire,The Show Must Go On
Manowar,Courage
Within Temptation,Memories
Therion,Eye of Shiva
Kamelot,Forever
Apocalyptica,Hall of the Mountain King
Nightwish,The Poet and the Pendulum
Symphony X,The Divine Wings of Tragedy
Manowar,Heart of Steel
Edenbridge,Evermore
Rhapsody,Unholy Warcry
Fairyland,Ride With The Sun
Epica,Solitary Ground
Stratovarius,A Million Lightyears Away
Kamelot,Karma
Blind Guardian,Lionheart
Trans-Siberian Orchestra,Siberian Sleigh Ride
Divinefire,Into A New Dimension
Nightwish,The Siren
Divinefire,Live My Life For You
Apocalyptica,Inquisition Symphony
HolyHell,Apocalypse
Fairyland,Fight For Your King
Therion,Wand of Abaris
Within Temptation,Faster
Aquaria,Iara
Blind Guardian,Another Stranger Me
DragonForce,Heroes of Our Time
Thy Majestie,Anger of Fate
Mechanical Poet,Old Year's Merry Funeral
Serenity,Velatum
Amberian Dawn,Evil Inside Me
Fairyland,On The Path To Fury
Blind Guardian,The Edge
Autumn,Satellites
Almora,Tilsim
Beto Vázquez Infinity,Wizard
Amberian Dawn,River of Tuoni
Apocalyptica,Hope
Derdian,Eternal Light
 Black Oceans...,White Pearl
Dark Moor,Beyond the Sea
Serenity,The Heartblood Symphony
Savatage,Commissar
Avantasia,Lost in Space
Dragonland,Forever Walking Alone
Edenbridge,And The Road Goes On
Avantasia,Avantasia
Versailles -Philharmonic Quintet,Aristocrat's Symphony
DragonForce,The Game
Aquaria,And Let The Show Begin
Thy Majestie,As You Fall
Freedom Call,Warriors of Light
Derdian,I Don't Wanna Die
Sonata Arctica,Caleb
Kamelot,Insomnia
Dark Moor,The Chariot
Serenity,Engraved Within
Avantasia,Twisted Mind
