10 years,wasteland
10,000 maniacs,these are days
10,like the weather
3 doors down,kryptonite
3 doors down,loser
a tribe called quest,can i kick it?
alanis morissette,ironic
alanis morissette,ironic
alanis morissette,you oughta know
alanis morissette,you oughta know
alice in chains,heaven beside you
alice in chains,man in the box
alice in chains,would?
anberlin,feel good drag
apocalyptica featuring adam gontier,i don't care
arcade fire,rebellion (lies)
arctic monkeys,do i wanna know?
arctic monkeys,i bet you look good on the dancefloor
atlas genius,trojans
audioslave,like a stone
awolnation,sail
barenaked ladies,one week
bastille,pompeii
bauhaus,bela lugosi's dead
bauhaus,she's in parties
beastie boys,hey ladies
beastie boys,sabotage
beck,loser
beck,loser
beck,where it's at
belly,feed the tree
better than ezra,good
big audio,rush
big data featuring joywave,dangerous
björk,hyperballad
blind melon,no rain
blink-182,all the small things
blink-182,what's my age again?
blur,girls & boys
blur,parklife
blur,song 2
breaking benjamin,so cold
breaking benjamin,the diary of jane
bush,comedown
bush,everything zen
bush,glycerine
bush,swallowed
bush,the chemicals between us
bush,the sound of winter
butthole surfers,pepper
cage the elephant,come a little closer
cage the elephant,shake me down
cage the elephant,trouble
cake,never there
camouflage,the great commandment
capital cities,safe and sound
chevelle,send the pain below
chevelle,vitamin r (leading us along)
cocteau twins,heaven or las vegas
cold war kids,first
coldplay,clocks
coldplay,yellow
collective soul,december
collective soul,shine
concrete blonde,joey
counting crows,mr. jones
creed,higher
creed,one
crossfade,cold
depeche mode,enjoy the silence
depeche mode,everything counts
depeche mode,i feel you
depeche mode,personal jesus
depeche mode,policy of truth
depeche mode,walking in my shoes
dinosaur jr.,freak scene
dinosaur jr.,start choppin'
dishwalla,counting blue cars
echo and the bunnymen,bring on the dancing horses
echo and the bunnymen,the cutter
echo and the bunnymen,the killing moon
edie brickell & new bohemians,what i am
eels,novocaine for the soul
elastica,connection
electronic,get the message
elle king,ex's & oh's
elliott smith,miss misery
elvis costello & the attractions,pump it up
elvis costello,alison
elvis costello,the other side of summer
elvis costello,veronica
eve 6,inside out
everclear,everything to everyone
everclear,santa monica (watch the world die)
everlast,what it's like
faith no more,epic
fastball,the way
fine young cannibals,she drives me crazy
finger eleven,paralyzer
fiona apple,criminal
fitz and the tantrums,out of my league
folk implosion,natural one (from "kids")
foo fighters,all my life
foo fighters,best of you
foo fighters,big me
foo fighters,doa
foo fighters,everlong
foo fighters,learn to fly
foo fighters,let it die
foo fighters,my hero
foo fighters,rope
foo fighters,the pretender
foo fighters,walk
foster the people,pumped up kicks
foster the people,sit next to me
franz ferdinand,take me out
fuel,hemorrhage (in my hands)
fuel,shimmer
fugazi,waiting room
gang of four,damaged goods
garbage,stupid girl
gene loves jezebel,jealous
gin blossoms,found out about you
gin blossoms,hey jealousy
gnarls barkley,crazy
goo goo dolls,iris
goo goo dolls,name
goo goo dolls,slide
gorillaz,feel good inc
gotye featuring kimbra,somebody that i used to know
green day,american idiot
green day,basket case
