olivia newton-john,physical
kim carnes,bette davis eyes
diana ross & lionel richie,endless love
survivor,eye of the tiger
the police,every breath you take
irene cara,flashdance...what a feeling
queen,another one bites the dust
paul mccartney and michael jackson,say say say
blondie,call me
kenny rogers,lady
the j. geils band,centerfold
john lennon,(just like) starting over
joan jett & the blackhearts,i love rock 'n' roll
paul mccartney and stevie wonder,ebony and ivory
dionne & friends featuring elton john, gladys knight and stevie wonder,that's what friends are for
diana ross,upside down
michael jackson,billie jean
the steve miller band,abracadabra
lionel richie,say you, say me
lionel richie,all night long (all night)
foreigner,waiting for a girl like you
john cougar,hurts so good
phil collins,another day in paradise
captain & tennille,do that to me one more time
madonna,like a virgin
prince,when doves cry
daryl hall john oates,maneater
pink floyd,another brick in the wall (part ii)
george michael,faith
queen,crazy little thing called love
bonnie tyler,total eclipse of the heart
wham! featuring george michael,careless whisper
the bangles,walk like an egyptian
the human league,don't you want me
rick springfield,jessie's girl
barbra streisand,woman in love
chicago,hard to say i'm sorry
janet jackson,miss you much
men at work,down under
usa for africa,we are the world
john cougar,jack & diane
van halen,jump
kenny rogers duet with dolly parton,islands in the stream
paul mccartney and wings,coming up (live at glasgow)
christopher cross,arthur's theme (best that you can do)
mr. mister,broken wings
heart,alone
reo speedwagon,can't fight this feeling
poison,every rose has its thorn
whitney houston,i wanna dance with somebody (who loves me)
daryl hall john oates,i can't go for that (no can do)
bon jovi,livin' on a prayer
dire straits,money for nothing
patti labelle & michael mcdonald,on my own
michael jackson,beat it
madonna,crazy for you
tina turner,what's love got to do with it
michael jackson,rock with you
phil collins and marilyn martin,separate lives
foreigner,i want to know what love is
billy joel,it's still rock and roll to me
chicago,look away
kenny loggins,footloose
phil collins,against all odds (take a look at me now)
steve winwood,roll with it
paula abdul,straight up
tears for fears,everybody wants to rule the world
billy joel,we didn't start the fire
starship,nothing's gonna stop us now
u2,with or without you
huey lewis & the news,the power of love
whitney houston,greatest love of all
stevie wonder,i just called to say i love you
los lobos,la bamba
lipps, inc.,funkytown
olivia newton-john,magic
george michael,one more try
ray parker jr.,ghostbusters
laura branigan,gloria
lionel richie,hello
tears for fears,shout
richard marx,right here waiting
john lennon,woman
yes,owner of a lonely heart
kc and the sunshine band,please don't go
debbie gibson,lost in your eyes
inxs,need you tonight
quarterflash,harden my heart
gregory abbott,shake you down
starship,we built this city
huey lewis & the news,stuck with you
eddie murphy,party all the time
rick astley,never gonna give you up
guns n' roses,sweet child o' mine
paul young,everytime you go away
linda ronstadt (featuring aaron neville),don't know much
george harrison,got my mind set on you
dolly parton,9 to 5
falco,rock me amadeus
madonna,like a prayer
eddie rabbitt,i love a rainy night
toto,rosanna
simple minds,don't you (forget about me)
mr. mister,kyrie
culture club,karma chameleon
prince and the revolution,kiss
john parr,st. elmo's fire (man in motion)
paula abdul,cold hearted
bobby brown,my prerogative
whitney houston,so emotional
daryl hall john oates,out of touch
bruce hornsby & the range,the way it is
whitney houston,how will i know
rick springfield,don't talk to strangers
stevie wonder,part time lover
gloria estefan & miami sound machine,anything for you
whitesnake,here i go again
toni basil,mickey
milli vanilli,blame it on the rain
billy ocean,get outta my dreams, get into my car
patti austin a duet with james ingram,baby, come to me
eurythmics,sweet dreams (are made of this)
blondie,the tide is high
michael sembello,maniac
smokey robinson,being with you
madonna,papa don't preach
david bowie,let's dance
grover washington, jr. with bill withers,just the two of us
tiffany,could've been
bob seger,shakedown (from "beverly hills cop ii")
the escape club,wild, wild west
the rolling stones,start me up
a-ha,take on me
michael jackson,man in the mirror
whitney houston,didn't we almost have it all
air supply,all out of love
phil collins,two hearts
daryl hall john oates,private eyes
wham!,wake me up before you go-go
tiffany,i think we're alone now
pet shop boys,west end girls
bette midler,wind beneath my wings (from "beaches")
gloria estefan,don't wanna lose you
men at work,who can it be now?
u2,i still haven't found what i'm looking for
kool & the gang,celebration
joey scarbury,theme from "greatest american hero" (believe it or not)
cheap trick,the flame
billy ocean,there'll be sad songs (to make you cry)
deniece williams,let's hear it for the boy
milli vanilli,girl i'm gonna miss you
ub40,red red wine
whitney houston,saving all my love for you
elton john,little jeannie
daryl hall john oates,kiss on my list
john waite,missing you
duran duran,a view to a kill
the pointer sisters,slow hand
phil collins,groovy kind of love
peter cetera,glory of love (theme from "the karate kid part ii")
reo speedwagon,keep on loving you
neil diamond,love on the rocks
phil collins,one more night
robert palmer,addicted to love
bryan adams,heaven
vangelis,chariots of fire - titles
the human league,human
atlantic starr,always
prince and the revolution,let's go crazy
lisa lisa and cult jam,head to toe
wham!,everything she wants
roxette,the look
philip bailey with phil collins,easy lover
robbie nevil,c'est la vie
starship,sara
jan hammer,miami vice theme
billy joel,uptown girl
billy vera & the beaters,at this moment
belinda carlisle,heaven is a place on earth
peter gabriel,sledgehammer
fine young cannibals,she drives me crazy
cyndi lauper,time after time
journey,open arms
lionel richie,dancing on the ceiling
