santana featuring rob thomas,smooth
leann rimes,how do i live
los del rio,macarena (bayside boys mix)
toni braxton,un-break my heart
jewel,you were meant for me
bryan adams,(everything i do) i do it for you
boyz ii men,i'll make love to you
next,too close
mariah carey & boyz ii men,one sweet day
savage garden,truly madly deeply
elton john,candle in the wind 1997
whitney houston,i will always love you
boyz ii men,end of the road (from "boomerang")
ace of base,the sign
brandy & monica,the boy is mine
stevie b,because i love you (the postman song)
tag team,whoomp! (there it is)
paula abdul,rush rush
shania twain,you're still the one
coolio featuring l.v.,gangsta's paradise (from "dangerous minds")
sinead o'connor,nothing compares 2 u
all-4-one,i swear
puff daddy & faith evans featuring 112,i'll be missing you
usher,you make me wanna...
real mccoy,another night
the tony rich project,nobody knows
celine dion,because you loved me (from "up close & personal")
tlc,creep
tlc,waterfalls
c+c music factory,gonna make you sweat (everybody dance now)
madonna,vogue
mariah carey,love takes time
goo goo dolls,iris
roxette,it must have been love (from "pretty woman")
mariah carey,vision of love
wilson phillips,hold on
color me badd,i wanna sex you up (from "new jack city")
timmy t.,one more try
boyz ii men,on bended knee
toni braxton,you're makin' me high/let it flow
bette midler,from a distance
no doubt,don't speak
mariah carey,fantasy
emf,unbelievable
surface,the first time
madonna,take a bow
puff daddy (featuring mase),can't nobody hold me down
extreme,more than words
janet jackson,escapade
blackstreet (featuring dr. dre),no diggity
hi-five,i like the way (the kissing game)
bell biv devoe,poison
ub40,can't help falling in love (from "sliver")
mariah carey,emotions
backstreet boys,quit playing games (with my heart)
tlc,no scrubs
mariah carey,dreamlover
paula abdul (duet with the wild pair),opposites attract
monica,the first night
deborah cox,nobody's supposed to be here
natalie imbruglia,torn
keith sweat,twisted
donna lewis,i love you always forever
cher,believe
seal,kiss from a rose
celine dion,it's all coming back to me now
celine dion,the power of love
amy grant,baby baby
janet jackson,that's the way love goes
702,where my girls at?
ace of base,all that she wants
madonna,justify my love
jon bon jovi,blaze of glory (from "young guns ii")
michael bolton,how am i supposed to live without you
sir mix-a-lot,baby got back
mariah carey,someday
mariah carey,hero
lisa loeb & nine stories,stay (i missed you)
montell jordan,this is how we do it
color me badd,i adore mi amor
whitney houston,all the man that i need
en vogue,don't let go (love)
technotronic featuring felly,pump up the jam
damn yankees,high enough
queen,bohemian rhapsody
maxi priest,close to you
mariah carey,always be my baby
wilson phillips,release me
whitney houston,i'm your baby tonight
new kids on the block,step by step
janet,together again
alannah myles,black velvet
tracy chapman,give me one reason
silk,freak me
bell biv devoe,do me!
marc anthony,i need to know
kris kross,jump
keith sweat featuring athena cage,nobody
brian mcknight,back at one
mariah carey,i don't wanna cry
christina aguilera,genie in a bottle
mark morrison,return of the mack
glenn medeiros featuring bobby brown,she ain't worth it
spice girls,wannabe
bon jovi,always
toni braxton,breathe again
billy idol,cradle of love (from "ford fairlane")
vanilla ice,ice ice baby
jennifer lopez,if you had my love
karyn white,romantic
snow,informer
r. kelly,i believe i can fly (from "space jam")
james ingram,i don't have the heart
monica,angel of mine
marky mark & the funky bunch featuring loleatta holloway,good vibrations
heart,all i wanna do is make love to you
janet jackson,love will never do (without you)
jesus jones,right here, right now
britney spears,...baby one more time
boyz ii men,motownphilly
everything but the girl,missing
nelson,(can't live without your) love and affection
vanessa williams,save the best for last
swv,weak
natural selection,do anything
ini kamoze,here comes the hotstepper (from "ready to wear")
sweet sensation,if wishes came true
gloria estefan,coming out of the dark
bone thugs-n-harmony,tha crossroads
en vogue,hold on
meat loaf,i'd do anything for love (but i won't do that)
eric clapton,change the world
shai,if i ever fall in love
sixpence none the richer,kiss me
ricky martin,livin' la vida loca
wilson phillips,you're in love
tlc,unpretty
janet jackson,again
whitney houston,exhale (shoop shoop) (from "waiting to exhale")
third eye blind,semi-charmed life
prince and the n.p.g.,cream
usher,my way
k-ci & jojo,all my life
lisa stansfield,all around the world
the rembrandts,i'll be there for you/this house is not a home
ralph tresvant,sensitivity
roxette,joyride
tlc,baby-baby-baby
poison,unskinny bop
taylor dayne,love will lead you back
jennifer paige,crush
bryan adams,have you ever really loved a woman?
divine,lately
r. kelly,bump n' grind
smash mouth,walkin' on the sun
bryan adams/rod stewart/sting,all for love
quad city dj's,c'mon n' ride it (the train)
londonbeat,i've been thinking about you
sheryl crow,all i wanna do
p.m. dawn,i'd die without you (from "boomerang")
color me badd,all 4 love
usher,nice & slow
tara kemp,hold you tight
boyz ii men,it's so hard to say goodbye to yesterday
calloway,i wanna be rich
monica,don't take it personal (just one of dem days)
alanis morissette,ironic
ace of base,don't turn around
boyz ii men,water runs dry
dr. dre,nuthin' but a "g" thang
wreckx-n-effect,rump shaker
johnny gill,rub you the right way
john mellencamp with me'shell ndegeocello,wild night
jane child,don't wanna fall in love
whitney houston feat. faith evans & kelly price,heartbreak hotel
wilson phillips,impulsive
hanson,mmmbop
the notorious b.i.g. featuring puff daddy & mase,mo money mo problems
snap!,the power
goo goo dolls,name
seduction,two to make it right
all-4-one,i can love you like that
amy grant,every heartbeat
snap!,rhythm is a dancer
bryan adams,can't stop this thing we started
michael bolton,when a man loves a woman
michael jackson,black or white
cathy dennis,touch me (all night long)
no mercy,where do you go
merril bainbridge,mouth
sugar ray,every morning
r. kelly & celine dion,i'm your angel
janet jackson,runaway
lenny kravitz,it ain't over 'til it's over
ll cool j,hey lover
r.e.m.,losing my religion
c+c music factory/f. williams,here we go
poison,something to believe in
tommy page,i'll be your everything
janet jackson,rhythm nation
george michael,praying for time
adina howard,freak like me
brandy,sittin' up in my room (from "waiting to exhale")
d.j. jazzy jeff & the fresh prince,summertime
dna featuring suzanne vega,tom's diner
janet jackson,alright
sarah mclachlan,adia
monica,for you i will (from "space jam")
en vogue,my lovin' (you're never gonna get it)
right said fred,i'm too sexy
eric clapton,tears in heaven
roxette,dangerous
brandy,have you ever?
paula abdul,the promise of a new day
soul for real,candy rain
mariah carey,without you/never forget you
rhythm syndicate,p.a.s.s.i.o.n.
linear,sending all my love
2pac featuring k-ci and jojo,how do u want it/california love
deee-lite,groove is in the heart
janet jackson,black cat
red hot chili peppers,under the bridge
jade,don't walk away
babyface,when can i see you
celine dion,where does my heart beat now
aerosmith,i don't want to miss a thing
alias,more than words can say
98 degrees,because of you
the b-52s,roam
the cardigans,lovefool
rod stewart,downtown train
meredith brooks,bitch
blues traveler,run-around
jon secada,just another day
h-town,knockin' da boots
luther vandross,power of love/love power
the wallflowers,one headlight
p.m. dawn,set adrift on memory bliss
michael bolton,love is a wonderful thing
smash mouth,all star
jody watley,everything
backstreet boys,i want it that way
des'ree,you gotta be
m.c. hammer,have you seen her
dionne farris,i know
scorpions,wind of change
shaggy,boombastic
faith hill,this kiss
lou bega,mambo no. 5 (a little bit of...)
tlc,red light special
mariah carey,my all
patty smyth,sometimes love just ain't enough
madonna,i'll remember (from "with honors")
extreme,hole hearted
chumbawamba,tubthumping
salt-n-pepa featuring en vogue,whatta man
ub40,the way you do the things you do
roxette,fading like a flower (every time you leave)
luther vandross,here and now
tracie spencer,this house
shanice,i love your smile
elton john,can you feel the love tonight (from "the lion king")
mr. big,to be with you
hootie & the blowfish,only wanna be with you
prince,the most beautiful girl in the world
peabo bryson & regina belle,a whole new world (aladdin's theme)
nicki french,total eclipse of the heart
lauryn hill,doo wop (that thing)
janet jackson,come back to me
brandy,i wanna be down
c+c music factory,things that make you go hmmmm. . .
gin blossoms,follow you down/til i hear it from you
coolio,fantastic voyage
janet jackson,any time, any place/and on and on
goo goo dolls,slide
divinyls,i touch myself
house of pain,jump around
rod stewart,rhythm of my heart
the heights,how do you talk to an angel
puff daddy & the family (feat. the notorious b.i.g. & mase),been around the world
bonnie raitt,something to talk about
warren g & nate dogg,regulate (from "above the rim")
boyz ii men,4 seasons of loneliness
sugar ray,fly
will smith,gettin' jiggy wit it
destiny's child,bills, bills, bills
backstreet boys,everybody [backstreet's back]
destiny's child,no, no, no
ll cool j,loungin
boyz ii men,in the still of the nite (from "the jacksons")
vanilla ice,play that funky music
sophie b. hawkins,as i lay me down
naughty by nature,o.p.p.
firehouse,love of a lifetime
corina,temptation
jewel,you were meant for me/foolish games
cece peniston,finally
pebbles,giving you the benefit
janet jackson,if
lsg,my body
salt-n-pepa,shoop
michael jackson,you are not alone
mariah carey,can't let go
aaliyah,back & forth
madonna,secret
somethin' for the people featuring trina & tamara,my love is the shhh!
enigma,sadeness part 1
the notorious b.i.g.,hypnotize
m.c. hammer,u can't touch this
michael bolton,how can we be lovers
the notorious b.i.g.,one more chance/stay with me
nelson,after the rain
will smith,men in black
the klf,3 a.m. eternal
guns n' roses,november rain
sheryl crow,strong enough
m.c. hammer,pray
billy ray cyrus,achy breaky heart
savage garden,i want you
whitney houston,i have nothing
mary j. blige,not gon' cry (from "waiting to exhale")
mariah carey,honey
richard marx,now and forever
shanice,saving forever for you (from "beverly hills, 90210")
phil collins,something happened on the way to heaven
fugees featuring bounty killer,killing me softly
phil collins,i wish it would rain down
alanis morissette,head over feet
phil collins,do you remember?
barenaked ladies,one week
billy joel,the river of dreams
all-4-one,so much in love
robin s.,show me love
matchbox 20,3 am
drs,gangsta lean
mariah carey,i'll be there
jessica simpson,i wanna love you forever
swv,right here (human nature)/downtown
lou gramm,just between you and me
big mountain,baby i love your way (from "reality bites")
pearl jam,last kiss
vanessa williams/brian mcknight,love is (from "beverly hills, 90210")
after 7,can't stop
la bouche,be my lover
toni braxton,you mean the world to me
deep blue something,breakfast at tiffany's
jodeci,lately
joan osborne,one of us
celine dion,my heart will go on
mariah carey featuring jay-z,heartbreaker
r. kelly featuring ronald isley,down low (nobody has to know)
michel'le,no more lies
backstreet boys,as long as you love me
taylor dayne,i'll be your shelter
swv,i'm so into you
michael bolton,time, love and tenderness
xscape,just kickin' it
michael jackson,remember the time
sarah mclachlan,angel
allure featuring 112,all cried out
groove theory,tell me
maxwell,fortunate
dru hill,in my bed
duran duran,ordinary world
bad english,price of love
new edition,i'm still in love with you
spice girls,say you'll be there
bobby brown,good enough
shawn mullins,lullaby
mary j. blige,real love
rick astley,cry for help
babyface,every time i close my eyes
arrested development,mr. wendal
the verve pipe,the freshmen
madonna,this used to be my playground
bryan adams,please forgive me
george michael/elton john,don't let the sun go down on me
tlc,what about your friends
sugar ray,someday
edwin mccain,i'll be
az yet featuring peter cetera,hard to say i'm sorry
rome,i belong to you (every time i see your face)
robyn,show me love
after 7,ready or not
spice girls,2 become 1
immature,never lie
styx,show me the way
aerosmith,janie's got a gun
hi-five,i can't wait another minute
brandy,baby
prince and the n.p.g.,diamonds and pearls
bobby brown,humpin' around
technotronic,get up! (before the night is over)
atlantic starr,masterpiece
tony toni tone,feels good
swv,you're the one
paula cole,i don't want to wait
montell jordan feat. master p & silkk the shocker,let's ride
soul asylum,runaway train
melissa etheridge,i'm the only one
dru hill featuring redman,how deep is your love
enrique iglesias,bailamos
r. kelly,i can't sleep baby (if i)
tom petty,free fallin'
robyn,do you know (what it takes)
the escape club,i'll be there
backstreet boys,all i have to give
whitney houston,i believe in you and me (from "the preacher's wife")
changing faces,stroke you up
depeche mode,enjoy the silence
michael bolton,said i loved you...but i lied
tyler collins,girls nite out
ub40,here i am (come and take me)
tlc,diggin' on you
blessid union of souls,i believe
luther vandross & mariah carey,endless love
madonna,frozen
milli vanilli,all or nothing
real mccoy,run away
alanis morissette,you learn/you oughta know
another bad creation,iesha
whitney houston,i'm every woman (from "the bodyguard")
michael w. smith,place in this world
tesla,signs
paula abdul,blowing kisses in the wind
blackstreet,before i let you go
chicago,what kind of man would i be?
chris isaak,wicked game
mase,feel so good
crash test dummies,mmm mmm mmm mmm
skid row,i remember you
joe public,live and learn
keith sweat,i'll give all my love to you
gloria estefan,here we are
oleta adams,get here
new kids on the block,this one's for the children
busta rhymes featuring janet,what's it gonna be?!
69 boyz,tootsee roll
tlc,ain't 2 proud 2 beg
p.m. dawn,looking through patient eyes
the proclaimers,i'm gonna be (500 miles)
third eye blind,how's it going to be
celine dion,if you asked me to
george michael,freedom
rod stewart,have i told you lately
jesus jones,real real real
hootie & the blowfish,hold my hand
all saints,never ever
five,when the lights go out
amy grant,that's what love is for
enigma,return to innocence
monica,before you walk out of my life/like this and like that
paul young,oh girl
lfo,summer girls
4pm,sukiyaki
will to power,i'm not in love
black box,everybody everybody
the notorious b.i.g.,big poppa/warning
nirvana,smells like teen spirit
uncle sam,i don't ever want to see you again
tara kemp,piece of my heart
roberta flack with maxi priest,set the night to music
tesla,love song
shawn colvin,sunny came home
vanessa williams,colors of the wind (from "pocahontas")
billy joel,i go to extremes
ginuwine,pony
duncan sheik,barely breathing
public announcement,body bumpin' yippie-yi-yo
go west,king of wishful thinking (from "pretty woman")
cathy dennis,too many walls
seal,crazy
take that,back for good
coolio,1, 2, 3, 4 (sumpin' new)
da brat,funkdafied
tom cochrane,life is a highway
jon secada,if you go
method man featuring mary j. blige,i'll be there for you/you're all i need to get by
sting,all this time
black box,strike it up
michael bolton,when i'm back on my feet again
sophie b. hawkins,damn i wish i was your lover
tevin campbell,tell me what you want me to do
the cover girls,we can't go wrong
nicole featuring missy "misdemeanor" elliott & mocha,make it hot
puff daddy featuring jimmy page,come with me
aerosmith,what it takes
az yet,last night (from "the nutty professor")
zhane,hey mr. d.j.
faith no more,epic
ll cool j,around the way girl
kiss,forever
will smith featuring dru hill & kool mo dee,wild wild west
en vogue,giving him something he can feel
eagle-eye cherry,save tonight
dino,romeo
janet jackson,you want this
prince,thieves in the temple
cathy dennis,just another dream
crystal waters,100% pure love
