Nirvana,Smells Like Teen Spirit
Joy Division,Love Will Tear Us Apart
R.E.M.,Radio Free Europe
New Order,Blue Monday
The Smiths,How Soon is Now?
Talking Heads,Once in a Lifetime
Sonic Youth,Teen Age Riot
Violent Femmes,Blister in the Sun
Pearl Jam,Jeremy
Pixies,Monkey Gone to Heaven
Red Hot Chili Peppers,Under the Bridge
Soundgarden,Black Hole Sun
Nine Inch Nails,Closer
R.E.M.,Losing My Religion
Oasis,Wonderwall
The Cure,Just Like Heaven
The Breeders,Cannonball
Nirvana,Come As You Are
Beck,Loser
Radiohead,Creep
Bauhaus,Bela Lugosi's Dead
Depeche Mode,Personal Jesus
Blur,Song 2
Echo and the Bunnymen,The Killing Moon
U2,Sunday Bloody Sunday
Pulp,Common People
The Smiths,There Is a Light That Never Goes Out
Kate Bush,Running Up That Hill (A Deal With God)
R.E.M.,It's The End of the World As We Know It (And I Feel Fine)
The Smashing Pumpkins,1979
Fugazi,Waiting Room
The Cure,Lovesong
Pearl Jam,Alive
 Radio,Radio
Nirvana,All Apologies
Joy Division,Atmosphere
Pixies,Here Comes Your Man
Radiohead,Paranoid Android
The La's,There She Goes
Foo Fighters,Everlong
Weezer,Buddy Holly
Stone Temple Pilots,Plush
Depeche Mode,Enjoy the Silence
The Smiths,This Charming Man
Alice in Chains,Would?
R.E.M.,The One I Love
 I'm Sick,Touch Me
Nine Inch Nails,Head Like a Hole
The Replacements,Bastards of Young
Talking Heads,Burning Down the House
Nirvana,Lithium
Beastie Boys,Sabotage
U2,New Year's Day
Pavement,Cut Your Hair
The Cure,Boys Don't Cry
 Tonight,Tonight
Soundgarden,Jesus Christ Pose
Oasis,Live Forever
The Stone Roses,I Wanna Be Adored
Red Hot Chili Peppers,Give It Away
Sublime,What I Got
The Jesus and Mary Chain,Just Like Honey
Pixies,Where Is My Mind?
The White Stripes,Seven Nation Army
The Pogues & Kirsty MacColl,Fairytale of New York
Midnight Oil,Beds Are Burning
XTC,Dear God
Radiohead,Karma Police
Faith No More,Epic
Alice in Chains,Man in the Box
U2,I Still Haven't Found What I'm Looking For
New Order,True Faith
Modern English,I Melt With You
My Bloody Valentine,Only Shallow
Rage Against the Machine,Bulls on Parade
The Replacements,Left of the Dial
The Jam,That's Entertainment
Elvis Costello,Alison
Green Day,When I Come Around
The Verve,Bitter Sweet Symphony
Collective Soul,Shine
Joy Division,She's Lost Control
Jeff Buckley,Hallelujah
They Might Be Giants,Birdhouse in Your Soul
Primal Scream,Loaded
Hüsker Dü,Celebrated Summer
Modest Mouse,Float On
Pearl Jam,Better Man
Love and Rockets,So Alive
The Smashing Pumpkins,Today
Mission of Burma,Academy Fight Song
Nirvana,Heart-Shaped Box
Radiohead,Fake Plastic Trees
Sinéad O'Connor,Nothing Compares 2 U
Brightside,Mr
Alanis Morissette,You Oughta Know
The Offspring,Come Out and Play
No Doubt,Don't Speak
Jane's Addiction,Been Caught Stealing
XTC,Senses Working Overtime
Temple of the Dog,Hunger Strike
Gin Blossoms,Hey Jealousy
Foo Fighters,Big Me
Soul Asylum,Runaway Train
The Church,Under the Milky Way
Kate Bush,Wuthering Heights
Stone Temple Pilots,Interstate Love Song
Oasis,Champagne Supernova
The Wallflowers,One Headlight
R.E.M.,Man on the Moon
The Smiths,Panic
Blind Melon,No Rain
The White Stripes,Fell in Love with a Girl
Tori Amos,Silent All These Years
The Cranberries,Linger
Green Day,Boulevard of Broken Dreams
Blur,Girls & Boys
New Order,Bizarre Love Triangle
Mother Love Bone,Chloe Dancer/Crown of Thorns
Gorillaz,Feel Good Inc.
Portishead,Sour Times
This Mortal Coil,Song to the Siren
Pavement,Summer Babe
The Specials,Ghost Town
The Pretenders,Back on the Chain Gang
Jane's Addiction,Jane Says
Siouxsie and the Banshees,Cities in Dust
The Cure,Pictures of You
Morrissey,Everyday is Like Sunday
XTC,Respectable Street
Silverchair,Tomorrow
The B-52's,Rock Lobster
Beck,Where It's At
Alice in Chains,Heaven Beside You
The Psychedelic Furs,Love My Way
Elvis Costello & The Attractions,Pump It Up
Sonic Youth,Kool Thing
Soundgarden,Rusty Cage
The Jam,Going Underground
Red Hot Chili Peppers,Scar Tissue
Nirvana,About a Girl
Talking Heads,Road to Nowhere
Social Distortion,Ball and Chain
Bush,Glycerine
My Chemical Romance,Welcome to the Black Parade
Weezer,Undone (The Sweater Song)
 Myself & I,Me
Central Rain (I'm Sorry),So
Liz Phair,Divorce Song
Dinosaur Jr.,Freak Scene
Hole,Doll Parts
Pearl Jam,Even Flow
Meat Puppets,Lake of Fire
Björk,Hyperballad
Linkin Park,In the End
Foo Fighters,Best of You
Franz Ferdinand,Take Me Out
Gnarls Barkley,Crazy
Rage Against the Machine,Killing in the Name
Elastica,Connection
Nine Inch Nails,Hurt
Muse,Starlight
Green Day,Basket Case
Gotye & Kimbra,Somebody That I Used to Know
Echo and the Bunnymen,The Cutter
The Stone Roses,I Am the Resurrection
Massive Attack,Unfinished Sympathy
Coldplay,Yellow
The Cure,Close to Me
The Flaming Lips,Do You Realize??
Bauhaus,She's In Parties
Oasis,Don't Look Back in Anger
Pearl Jam,Black
U2,Mysterious Ways
Suede,The Drowners
Siouxsie and the Banshees,Kiss Them for Me
Sonic Youth,100%
Radiohead,No Surprises
Arcade Fire,Rebellion (Lies)
Incubus,Drive
Garbage,Stupid Girl
The Strokes,Last Nite
The Smashing Pumpkins,Disarm
A Tribe Called Quest,Can I Kick It?
The Cure,Fascination Street
U2,One
Jimmy Eat World,The Middle
PJ Harvey,Sheela-Na-Gig
Marcy Playground,Sex and Candy
Nick Cave and the Bad Seeds & Kylie Minogue,Where the Wild Roses Grow
The Jesus and Mary Chain,April Skies
Dinosaur Jr.,Start Choppin'
M.I.A.,Paper Planes
Phoenix,1901
Wire,Mannequin
Arctic Monkeys,I Bet You Look Good on the Dancefloor
Minutemen,History Lesson Part II
Hole,Miss World
New Radicals,You Get What You Give
Green Day,Longview
The Smiths,Heaven Knows I'm Miserable Now
 We're Goin' Down,Sugar
Coldplay,Clocks
Third Eye Blind,Semi-Charmed Life
Beastie Boys,Hey Ladies
Gang of Four,Damaged Goods
Public Image Ltd.,Public Image
Sunny Day Real Estate,In Circles
Teenage Fanclub,The Concept
Veruca Salt,Seether
Cocteau Twins,Heaven or Las Vegas
My Bloody Valentine,Soon
The Fall,Totally Wired
 Kenneth?,What's the Frequency
Elvis Costello,Veronica
Nick Cave and the Bad Seeds,The Mercy Seat
Fiona Apple,Criminal
The Pretenders,Don't Get Me Wrong
Nirvana,In Bloom
The Tragically Hip,Ahead By a Century
The Cure,Let's Go to Bed
Siouxsie and the Banshees,Happy House
Echo and the Bunnymen,Bring on the Dancing Horses
Depeche Mode,Everything Counts
Suede,Metal Mickey
Morrissey,The Last of the Famous International Playboys
New Order,Regret
The Cranberries,Dreams
Muse,Uprising
The Sisters of Mercy,This Corrosion
Kate Bush,Hounds of Love
Hüsker Dü,Makes No Sense at All
The Go-Betweens,Cattle and Cane
10,Like the Weather
 It Was Really Nothing,William
The Killers,Somebody Told Me
XTC,The Mayor of Simpleton
Talking Heads,(Nothing But) Flowers
No Doubt,Spiderwebs
Hole,Violet
Radiohead,Idioteque
Elliott Smith,Miss Misery
Tori Amos,Cornflake Girl
Lorde,Royals
Blur,Parklife
Foo Fighters,My Hero
The Jesus and Mary Chain,Head On
Alanis Morissette,Ironic
Stone Temple Pilots,Big Empty
Sublime,Doin' Time
