"blood, sweat & tears",hi-de-ho
"bobby ""boris"" pickett and the crypt-kickers",monster mash
"crosby, stills & nash",just a song before i go
"crosby, stills & nash",ohio
"crosby, stills & nash",teach your children
"crosby, stills & nash",woodstock
"earth, wind & fire",boogie wonderland
"earth, wind & fire",shining star
"emerson, lake & palmer",fanfare for the common man
"emerson, lake & palmer",from the beginning
"emerson, lake & palmer",lucky man
"evelyn ""champagne"" king",shame
"hamilton, joe frank & reynolds",fallin in love
"marilyn mccoo and billy davis, jr.",you dont have to be a star (to be in my show)
100 proof (aged in soul),somebody's been sleeping
10cc,"i'm mandy, fly me"
10cc,art for art's sake
10cc,donna
10cc,dreadlock holiday
10cc,good morning judge
10cc,i'm not in love
10cc,life is a minestrone
10cc,rubber bullets
10cc,the things we do for love
10cc,the wall street shuffle
8th day,she's not just another woman
a taste of honey,boogie oogie oogie
abba,dancing queen
abba,knowing me knowing you
abba,take a chance on me
abba,the name of the game
abba,waterloo
ac/dc,dirty deeds done dirt cheap
ac/dc,highway to hell
ac/dc,let there be rock
ac/dc,t.n.t.
ac/dc,whole lotta rosie
ace frehley,new york groove
ace,how long
aerosmith,back in the saddle
aerosmith,dream on
aerosmith,last child
aerosmith,sweet emotion
aerosmith,walk this way
al green,call me (come back home)
al green,here i am (come and take me)
al green,i'm still in love with you
al green,let's get married
al green,lets stay together
al green,look what you done for me
al green,love and happiness
al green,sha-la-la (make me happy)
al green,tired of being alone
al stewart,time passages
al stewart,year of the cat
al wilson,show and tell
alan oday,undercover angel
albert hammond,it never rains in southern california
alice cooper,eighteen
alice cooper,elected
alice cooper,hello hooray
alice cooper,how you gonna see me now
alice cooper,i never cry
alice cooper,no more mr. nice guy
alice cooper,only women bleed
alice cooper,school's out
alice cooper,teenage lament '74
alice cooper,you and me
alicia bridges,i love the nightlife (disco 'round)
alive n kickin',tighter tighter
amazing rhythm aces,third rate romance
ambrosia,how much i feel
america,a horse with no name
america,daisy jane
america,i need you
america,lonely people
america,sister golden hair
america,tin man
america,today's the day
america,ventura highway
amii stewart,knock on wood
andrea true connection,more more more
andrew gold,lonely boy
andy gibb,(love is) thicker than water
andy gibb,(our love) don't throw it all away
andy gibb,an everlasting love
andy gibb,i just want to be your everything
andy gibb,shadow dancing
andy kim,rock me gently
andy williams,(where do i begin?) love story
anita ward,ring my bell
anita,ring my bell
ann peebles,i can't stand the rain
anne murray,a love song
anne murray,danny's song
anne murray,i just fall in love again
anne murray,snowbird
anne murray,you needed me
anne murray,you won't see me
apollo 100,joy
aretha franklin,angel
aretha franklin,bridge over troubled water
aretha franklin,call me
aretha franklin,day dreaming
aretha franklin,don't play that song
aretha franklin,spanish harlem
aretha franklin,until you come back to me (that's what i'm gonna do)
argent,hold your head up
arlo guthrie,the city of new orleans
art garfunkel,all i know
art garfunkel,bright eyes
ashford and simpson,found a cure
atlanta rhythm section,imaginary lover
atlanta rhythm section,so into you
atomic rooster,tomorrow night
average white band,cut the cake
average white band,pick up the pieces
b. j. thomas,(hey wont you play) another somebody done somebody wrong song
b. j. thomas,raindrops keep fallin on my head
b.b. king,the thrill is gone
b.j. thomas,don't worry baby
b.j. thomas,i just can't help believing
b.j. thomas,rock and roll lullaby
b.t. express,do it ('til you're satisfied)
b.t. express,express
b.w. stevenson,my maria
bachman-turner overdrive,hey you
bachman-turner overdrive,roll on down the highway
bachman-turner overdrive,takin' care of business
bachman-turner overdrive,you aint seen nothing yet
bad company,can't get enough
bad company,feel like makin' love
bad company,good lovin' gone bad
bad company,movin' on
bad company,rock 'n' roll fantasy
bad company,young blood
badfinger,baby blue
badfinger,come and get it
badfinger,day after day
badfinger,no matter what
barbra streisand and donna summer,no more tears (enough is enough)
barbra streisand and neil diamond,you dont bring me flowers
barbra streisand,love theme from a star is born (evergreen)
barbra streisand,my heart belongs to me
barbra streisand,the main event / fight
barbra streisand,the way we were
barbra streisand,where you lead
barry manilow,can't smile without you
barry manilow,copacabana (at the copa)
barry manilow,could it be magic
barry manilow,i write the songs
barry manilow,looks like we made it
barry manilow,mandy
barry manilow,somewhere in the night
barry manilow,tryin' to get the feeling again
barry manilow,weekend in new england
barry white,"cant get enough of your love, babe"
barry white,i'm gonna love you just a little more baby
barry white,never never gonna give ya up
barry white,you're the first the last my everything
bay city rollers,money honey
bay city rollers,saturday night
bay city rollers,the way i feel tonight
bay city rollers,you made me believe in magic
bazuka,dynomite
bee gees,alive
bee gees,fanny (be tender with my love)
bee gees,how can you mend a broken heart
bee gees,how deep is your love
bee gees,jive talkin
bee gees,lonely days
bee gees,love so right
bee gees,love you inside out
bee gees,night fever
bee gees,nights on broadway
bee gees,run to me
bee gees,stayin alive
bee gees,too much heaven
bee gees,tragedy
bee gees,you should be dancing
bette midler,boogie woogie bugle boy
bette midler,do you want to dance?
betty wright,clean up woman
beverly bremers,don't say you don't remember
bill conti,gonna fly now (theme from rocky)
bill withers,ain't no sunshine
bill withers,lean on me
bill withers,use me
billy joel,just the way you are
billy joel,movin' out (anthony's song)
billy joel,my life
billy joel,piano man
billy joel,she's always a woman
billy paul,me and mrs. jones
billy preston,nothing from nothing
billy preston,outa-space
billy preston,will it go round in circles
billy swan,i can help
black sabbath,iron man
black sabbath,paranoid
blondie,denis
blondie,dreaming
blondie,hanging on the telephone
blondie,heart of glass
blondie,one way or another
blondie,sunday girl
bloodstone,natural high
blue magic,sideshow
blue oyster cult,(don't fear) the reaper
blue ridge rangers,jambalaya (on the bayou)
blue swede,hooked on a feeling
blue swede,never my love
blue öyster cult,(don't fear) the reaper
blue öyster cult,godzilla
blues image,ride captain ride
bo donaldson and the heywoods,"billy, dont be a hero"
bob dylan,knockin' on heaven's door
bob dylan,watching the river flow
bob seger & the silver bullet band,hollywood nights
bob seger & the silver bullet band,night moves
bob seger & the silver bullet band,still the same
bob seger & the silver bullet band,we've got tonite
bob seger,hollywood nights
bob seger,night moves
bob seger,still the same
bob seger,we've got tonite
bob welch,ebony eyes
bob welch,sentimental lady
bobbi martin,for the love of him
bobby caldwell,what you won't do for love
bobby goldsboro,watching scotty grow
bobby sherman,easy come easy go
bobby sherman,julie do ya love me
bobby vinton,sealed with a kiss
bobby womack,lookin' for a love
bobby womack,lookin'for a love
bonnie pointer,heaven must have sent you
bonnie tyler,it's a heartache
bonnie tyler,lost in france
boston,don't look back
boston,foreplay / long time
boston,more than a feeling
boston,peace of mind
boston,rock & roll band
boston,smokin'
boz scaggs,lido shuffle
boz scaggs,lowdown
bread,aubrey
bread,baby i'm-a want you
bread,everything i own
bread,if
bread,it don't matter to me
bread,let your love go
bread,lost without your love
bread,make it with you
bread,sweet surrender
bread,the guitar man
brenda & the tabulations,right on the tip of my tongue
brewer & shipley,one toke over the line
brick,dazz
brighter side of darkness,love jones
brook benton,rainy night in georgia
brownsville station,smokin' in the boys room
bruce springsteen,born to run
bruce springsteen,prove it all night
bruce springsteen,rosalita (come out tonight)
bruce springsteen,thunder road
bryan ferry,let's stick together
bryan ferry,the in crowd
bryan ferry,this is tomorrow
burton cummings,stand tall
c. w. mccall,convoy
c.j. & company,devil's gun
candi staton,young hearts run free
canned heat,let's work together
captain & tennille,love will keep us together
carl carlton,everlasting love
carl douglas,kung fu fighting
carly simon & james taylor,mockingbird
carly simon,anticipation
carly simon,attitude dancing
carly simon,haven't got time for the pain
carly simon,nobody does it better
carly simon,that's the way i've always heard it should be
carly simon,you belong to me
carly simon,youre so vain
carol douglas,doctor's orders
carole king,been to canaan
carole king,i feel the earth move
carole king,its too late
carole king,jazzman
carole king,nightingale
carole king,so far away
carole king,sweet seasons
cat stevens,another saturday night
cat stevens,lady d'arbanville
cat stevens,moon shadow
cat stevens,morning has broken
cat stevens,oh very young
cat stevens,peace train
cat stevens,sitting
cat stevens,wild world
chairmen of the board,give me just a little more time
chakachas,jungle fever
charles wright & the watts 103rd street rhythm band,express yourself
charles wright & the watts 103rd street rhythm band,love land
charley pride,kiss an angel good mornin'
charlie daniels band,the devil went down to georgia
charlie rich,a very special love song
charlie rich,behind closed doors
charlie rich,the most beautiful girl
cheap trick,dream police
cheap trick,i want you to want me
cheap trick,surrender
cheap trick,voices
cher,dark lady
cher,gypsys
cher,gypsys tramps & thieves
cher,half-breed
cher,take me home
cher,the way of love
cheryl lynn,got to be real
chic,"dance, dance, dance (yowsah, yowsah, yowsah)"
chic,dance dance dance (yowsah yowsah yowsah)
chic,good times
chic,i want your love
chic,le freak
chicago,"baby, what a big surprise"
chicago,(i've been) searchin' so long
chicago,25 or 6 to 4
chicago,alive again
chicago,beginnings / colour my world
chicago,call on me
chicago,feelin' stronger every day
chicago,free
chicago,harry truman
chicago,if you leave me now
chicago,just you 'n' me
chicago,make me smile
chicago,no tell lover
chicago,old days
chicago,saturday in the park
chicago,wishing you were here
chris rea,fool (if you think it's over)
christie,yellow river
chuck berry,my ding-a-ling
chuck mangione,feels so good
clarence carter,patches
cliff richard,devil woman
climax blues band,couldn't get it right
climax,precious and few
clint holmes,playground in my mind
commander cody and his lost planet airmen,hot rod lincoln
commodores,easy
commodores,sail on
commodores,still
commodores,sweet love
commodores,three times a lady
cornelius brothers & sister rose,too late to turn back now
cornelius brothers & sister rose,treat her like a lady
creedence clearwater revival,have you ever seen the rain
creedence clearwater revival,lookin' out my back door
creedence clearwater revival,sweet hitch-hiker
creedence clearwater revival,travelin' band
creedence clearwater revival,travellin' band
creedence clearwater revival,up around the bend
creedence clearwater revival,who'll stop the rain
crosby stills & nash,just a song before i go
crosby stills nash & young,woodstock
crystal gayle,don't it make my brown eyes blue
curtis mayfield,freddie's dead
curtis mayfield,super fly
curtis mayfield,superfly
daddy dewdrop,chick-a-boom (don't ya jes' love it)
dan hill,sometimes when we touch
daniel boone,beautiful sunday
danny o'keefe,good time charlie's got the blues
daryl hall & john oates,sara smile
daryl hall & john oates,she's gone
daryl hall and john oates,rich girl
dave edmunds,girls talk
dave edmunds,i hear you knocking
dave loggins,please come to boston
david bowie,boys keep swinging
david bowie,changes
david bowie,drive-in saturday
david bowie,fame
david bowie,golden years
david bowie,knock on wood
david bowie,life on mars?
david bowie,rebel rebel
david bowie,sorrow
david bowie,sound and vision
david bowie,space oddity
david bowie,starman
david bowie,suffragette city
david bowie,the jean genie
david bowie,young americans
david bowie,ziggy stardust
david dundas,jeans on
david essex,lamplight
david essex,rock on
david gates,goodbye girl
david gates,never let her go
david naughton,makin' it
david ruffin,walk away from love
david soul,dont give up on us
dawn,"say, has anybody seen my sweet gypsy rose"
dawn,candida
dawn,steppin' out (gonna boogie tonight)
dawn,who's in the strawberry patch with sally
dean friedman,ariel
debby boone,you light up my life
deep purple,fireball
deep purple,highway star
deep purple,smoke on the water
deep purple,space truckin'
deep purple,woman from tokyo
delaney & bonnie & friends,never ending song of love
delaney & bonnie,neverending song of love
delaney & bonnie,only you know and i know
deniece williams,"too much, too little, too late"
denise lasalle,trapped by a thing called love
dennis coffey & the detroit guitar band,scorpio
deodato,also sprach zarathustra (2001)
derek and the dominos,layla
detroit emeralds,baby let me take you (in my arms)
diana ross & marvin gaye,my mistake (was to love you)
diana ross,aint no mountain high enough
diana ross,gettin' ready for love
diana ross,love hangover
diana ross,the boss
diana ross,theme from mahogany (do you know where youre going to)
diana ross,touch me in the morning
dionne warwick,i'll never fall in love again
dionne warwick,i'll never love this way again
dionne warwick,then came you
dionne warwick and the spinners,then came you
dire straits,sultans of swing
disco-tex and the sex-o-lettes,get dancin'
dobie gray,drift away
dolly parton,here you come again
don mclean,american pie
don mclean,dreidel
don mclean,vincent
donna fargo,funny face
donna fargo,the happiest girl in the whole u.s.a.
donna summer with brooklyn dreams,heaven knows
donna summer,bad girls
donna summer,hot stuff
donna summer,i feel love
donna summer,last dance
donna summer,love to love you baby
donna summer,macarthur park
donny & marie osmond,deep purple
donny & marie osmond,i'm leaving it all up to you
donny & marie osmond,morning side of the mountain
donny osmond,go away little girl
donny osmond,puppy love
donny osmond,sweet and innocent
donny osmond,the twelfth of never
dorothy moore,misty blue
dr. buzzard's original savannah band,whispering/cherchez la femme/c'est si bon
dr. hook & the medicine show,"the cover of ""rolling stone"""
dr. hook & the medicine show,sylvia's mother
dr. hook,a little bit more
dr. hook,only sixteen
dr. hook,sharing the night together
dr. hook,when you're in love with a beautiful woman
dr. john,right place wrong time
dwight twilley band,i'm on fire
eagles,best of my love
eagles,heartache tonight
eagles,hotel california
eagles,lyin' eyes
eagles,new kid in town
eagles,one of these nights
eagles,take it easy
eagles,take it to the limit
eagles,the long run
eagles,witchy woman
earth wind & fire,after the love has gone
earth wind & fire,boogie wonderland
earth wind & fire,getaway
earth wind & fire,september
earth wind & fire,serpentine fire
earth wind & fire,sing a song
earth wind & fire,that's the way of the world
eddie holman,hey there lonely girl
eddie kendricks,boogie down
eddie kendricks,keep on truckin
eddie kendricks,keep on truckin' (part 1)
eddie kendricks,shoeshine boy
eddie money,baby hold on
eddie rabbitt,suspicions
edgar winter group,free ride
edgar winter,frankenstein
edison lighthouse,love grows (where my rosemary goes)
edward bear,last song
edwin starr,war
electric light orchestra,10538 overture
electric light orchestra,can't get it out of my head
electric light orchestra,don't bring me down
electric light orchestra,evil woman
electric light orchestra,livin' thing
electric light orchestra,mr. blue sky
electric light orchestra,rockaria!
electric light orchestra,roll over beethoven
electric light orchestra,shine a little love
electric light orchestra,showdown
electric light orchestra,strange magic
electric light orchestra,sweet talkin' woman
electric light orchestra,telephone line
electric light orchestra,turn to stone
elton john and kiki dee,dont go breaking my heart
elton john,bennie and the jets
elton john,bite your lip (get up and dance)
elton john,candle in the wind
elton john,crocodile rock
elton john,daniel
elton john,don't let the sun go down on me
elton john,goodbye yellow brick road
elton john,grow some funk of your own
elton john,honky cat
elton john,i feel like a bullet (in the gun of robert ford)
elton john,island girl
elton john,levon
elton john,lucy in the sky with diamonds
elton john,mama can't buy you love
elton john,part-time love
elton john,philadelphia freedom
elton john,rocket man
elton john,saturday night's alright for fighting
elton john,someone saved my life tonight
elton john,song for guy
elton john,sorry seems to be the hardest word
elton john,the bi**h is back
elton john,your song
elvin bishop,fooled around and fell in love
elvis costello,oliver's army
elvis costello,watching the detectives
elvis presley,an american trilogy
elvis presley,bringing it back
elvis presley,burning love
elvis presley,hurt
elvis presley,i just can't help believing
elvis presley,i've lost you
elvis presley,if you talk in your sleep
elvis presley,kentucky rain
elvis presley,patch it up
elvis presley,promised land
elvis presley,t-r-o-u-b-l-e
elvis presley,the fool
elvis presley,the wonder of you
elvis presley,until it's time for you to go
elvis presley,way down
elvis presley,you don't have to say you love me
engelbert humperdinck,after the lovin'
england dan & john ford coley,gone too far
england dan & john ford coley,i'd really love to see you tonight
england dan & john ford coley,it's sad to belong
england dan & john ford coley,love is the answer
england dan & john ford coley,nights are forever without you
england dan & john ford coley,we'll never have to say goodbye again
eric burdon & war,spill the wine
eric carmen,all by myself
eric carmen,change of heart
eric carmen,she did it
eric clapton,i shot the sheriff
eric clapton,lay down sally
eric clapton,promises
eric clapton,willie and the hand jive
eric weissberg & steve mandel,dueling banjos
eruption,i can't stand the rain
exile,kiss you all over
family,in my own time
family,strange band
fancy,wild thing
firefall,strange way
first choice,armed and extremely dangerous
first class,beach baby
five man electrical band,signs
five stairsteps,o-o-h child
five stairsteps,ooh child
fleetwood mac,don't stop
fleetwood mac,dreams
fleetwood mac,go your own way
fleetwood mac,over my head
fleetwood mac,rhiannon (will you ever win)
fleetwood mac,sara
fleetwood mac,say you love me
fleetwood mac,tusk
fleetwood mac,you make loving fun
floaters,float on
focus,hocus pocus
foghat,slow ride
foreigner,"blue morning, blue day"
foreigner,"long, long way from home"
foreigner,cold as ice
foreigner,dirty white boy
foreigner,double vision
foreigner,feels like the first time
foreigner,hot blooded
foster sylvers,misdemeanor
foxy,get off
frank mills,music box dancer
frank zappa,bobby brown goes down
frank zappa,don't eat the yellow snow
frankie valli,grease
frankie valli,my eyes adored you
frankie valli,swearin' to god
freda payne,band of gold
freda payne,bring the boys home
freddie hart,easy loving
freddy fender,before the next teardrop falls
freddy fender,wasted days and wasted nights
free,all right now
free,wishing well
frijid pink,house of the rising sun
funkadelic,one nation under a groove part one
g.q.,disco nights (rock-freak)
g.q.,i do love you
gallery,nice to be with you
gary glitter,do you wanna touch me? (oh yeah)
gary glitter,hello! hello! i'm back again
gary glitter,i didn't know i loved you (till i saw you rock and roll)
gary glitter,rock and roll (part 2)
gary numan,cars
gary numan,complex
gary wright,dream weaver
gary wright,love is alive
gene chandler,groovy situation
genesis,follow you follow me
genesis,i know what i like (in your wardrobe)
genesis,the cinema show
george benson,on broadway
george benson,this masquerade
george harrison,bangla desh
george harrison,blow away
george harrison,crackerbox palace
george harrison,dark horse
george harrison,give me love (give me peace on earth)
george harrison,isnt it a pity
george harrison,my sweet lord
george harrison,what is life
george harrison,you
george mccrae,rock your baby
gerry rafferty,baker street
gerry rafferty,right down the line
gilbert o'sullivan,clair
gilbert o'sullivan,get down
gilbert osullivan,alone again (naturally)
gino vannelli,i just wanna stop
gladys knight & the pips,best thing that ever happened to me
gladys knight & the pips,i've got to use my imagination
gladys knight & the pips,if i were your woman
gladys knight & the pips,midnight train to georgia
gladys knight & the pips,neither one of us (wants to be the first to say goodbye)
gladys knight & the pips,on and on
gladys knight & the pips,the way we were / try to remember
glen campbell,country boy (you got your feet in l.a.)
glen campbell,it's only make believe
glen campbell,rhinestone cowboy
glen campbell,southern nights
gloria gaynor,i will survive
gloria gaynor,never can say goodbye
godspell,day by day
golden earring,radar love
gordon lightfoot,carefree highway
gordon lightfoot,if you could read my mind
gordon lightfoot,sundown
gordon lightfoot,the wreck of the edmund fitzgerald
grand funk railroad,bad time
grand funk railroad,closer to home
grand funk railroad,shinin' on
grand funk railroad,some kind of wonderful
grand funk railroad,the loco-motion
grand funk railroad,we're an american band
grand funk,bad time
grand funk,some kind of wonderful
grand funk,the loco-motion
grand funk,were an american band
gwen mccrae,rockin'chair
hall & oates,rich girl
hall & oates,sara smile
hall & oates,she's gone
hall & oates,wait for me
hamilton joe frank & reynolds,don't pull your love
harold melvin & the blue notes,"wake up, everybody (part 1)"
harold melvin & the blue notes,bad luck (part 1)
harold melvin & the blue notes,if you don't know me by now
harold melvin & the blue notes,the love i lost (part 1)
harold melvin & the blue notes,wake up everybody (part 1)
harry chapin,cats in the cradle
harry chapin,taxi
hawkwind,silver machine
heart,barracuda
heart,crazy on you
heart,dog & butterfly
heart,dreamboat annie
heart,heartless
heart,kick it out
heart,magic man
heart,straight on
heatwave,always and forever
heatwave,boogie nights
heatwave,the groove line
helen reddy,angie baby
helen reddy,delta dawn
helen reddy,i am woman
helen reddy,i don't know how to love him
helen reddy,leave me alone (ruby red dress)
helen reddy,peaceful
helen reddy,you and me against the world
helen reddy,you're my world
henry gross,shannon
herb alpert,rise
high inergy,you can't turn me off (in the middle of turning me on)
honey cone,stick-up
hot butter,popcorn
hot chocolate,every 1's a winner
hot chocolate,you sexy thing
hot,angel in your arms
hotlegs,neanderthal man
humble pie,30 days in the hole
humble pie,i don't need no doctor
hurricane smith,oh babe what would you say
ian matthews,shake it
iggy pop,lust for life
iggy pop,the passenger
ike & tina turner,i want to take you higher
ike & tina turner,proud mary
instant funk,i got my mind made up
isaac hayes,don't let go
isaac hayes,theme from shaft
j.d. souther,you're only lonely
j.j. cale,after midnight
j.j. cale,crazy mama
jackie moore,precious precious
jackson browne,doctor my eyes
jackson browne,running on empty
jackson browne,stay
james brown,good foot (part 1)
james taylor,don't let me be lonely tonight
james taylor,fire and rain
james taylor,handy man
james taylor,how sweet it is (to be loved by you)
james taylor,long ago and far away
james taylor,shower the people
james taylor,youve got a friend
janis ian,at seventeen
janis joplin,me and bobby mcgee
jay ferguson,thunder island
jean knight,mr. big stuff
jeff wayne,forever autumn
jefferson starship,count on me
jefferson starship,miracles
jefferson starship,with your love
jennifer warnes,i know a heartache when i see one
jennifer warnes,right time of the night
jermaine jackson,daddy's home
jerry butler & brenda lee eager,ain't understanding mellow
jerry reed,amos moses
jerry reed,when you're hot you're hot
jessi colter,i'm not lisa
jethro tull,aqualung
