"lil wayne, wiz khalifa & imagine dragons with logic & ty dolla $ign feat. x ambassadors",sucker for pain
"sofi tukker featuring nervo, the knocks, & alisa ueno",best friend
10 years,backlash
10 years,fix me
10 years,shoot it out
16,highly suspect
21,sir sly
3 doors down,every time you go
3 doors down,in the dark
3 doors down,one light
3 doors down,still alive
3 doors down,when you're young
30 seconds to mars,dangerous night
30 seconds to mars,this is war
30 seconds to mars,walk on water
311,sunset in july
45,the gaslight anthem
48,prophets of rage
85,seether
99,barns courtney
a day to remember,all i want
a day to remember,naivety
a day to remember,paranoia
a perfect circle,by and down
ac/dc,play ball
ac/dc,rock or bust
ajr featuring rivers cuomo,sober up
ajr,100 bad days
ajr,burn the house down
ajr,sober up
awolnation,hollow moon (bad wolf)
awolnation,i am
awolnation,kill your heroes
awolnation,not your fault
awolnation,woman woman
awolnation,handyman
absofacto,dissolve
adelitas way,alive
adelitas way,bad reputation
adelitas way,criticize
adelitas way,dog on a leash
adelitas way,sick
adelitas way,the collapse
aerosmith,legendary child
against me!,i was a teenage anarchist
alabama shakes,don't wanna fight
alex clare,too close
alice in chains,lesson learned
alice in chains,voices
alice merton,lash out
alice merton,no roots
all that remains,asking too much
all that remains,for you
all that remains,hold on
all that remains,stand up (stand up)
all that remains,the last time
all that remains,the waiting one
all that remains,this probably won't end well
all that remains,what if i was nothing
alter bridge,addicted to pain
alter bridge,ghost of days gone by
alter bridge,show me a leader
amy macdonald,this is the life
anberlin,impossible
andrew mcmahon in the wilderness,cecilia & the satellite
andrew mcmahon in the wilderness,fire escape
andrew mcmahon in the wilderness,high dive
apocalyptica feat. gavin rossdale,end of me
aranda,one more lie
aranda,satisfied
arcade fire,everything now
arcade fire,ready to start
arctic monkeys,four out of five
arctic monkeys,r u mine?
arctic monkeys,why'd you only call me when you're high?
art of dying,die trying
art of dying,get thru this
asking alexandria,here i am
asking alexandria,i won't give in
asking alexandria,moving on
atlas genius,if so
atlas genius,molecules
atlas genius,trojans
avatar,the eagle has landed
avenged sevenfold,buried alive
avenged sevenfold,carry on
avenged sevenfold,nightmare
avenged sevenfold,the stage
avenged sevenfold,this means war
avenged sevenfold,welcome to the family
awolnation,passion
bad suns,cardiac arrest
bad wolves featuring diamante,hear me now
badflower,ghost
banks,beggin for thread
barns courtney,99
bastille,bad blood
bastille,blame
bastille,flaws
bastille,good grief
bastille,joy
bastille,quarter past midnight
bastille,world gone mad
bear hands,2:00 am
bear hands,agora
bear hands,giants
beastie boys,make some noise
beck,colors
beck,dreams
beck,saw lightning
beck,up all night
beck,wow
beware of darkness,howl
big data (feat. joywave),dangerous
billie eilish,bury a friend
billie eilish,everything i wanted
billie eilish,you should see me in a crown
bishop briggs,river
bishop briggs,wild horses
black sabbath,god is dead?
black stone cherry,in my blood
black stone cherry,me and mary jane
black stone cherry,white trash millionaire
bleachers,don’t take the money
bleachers,i wanna get better
bleachers,rollercoaster
blink-182,after midnight
blink-182,blame it on my youth
blink-182,bored to death
blink-182,up all night
blue october,i hope you're happy
bohemian rhapsody,27
brandon flowers,crossfire
breaking benjamin featuring valora,blow me away
breaking benjamin,far away
breaking benjamin,give me a sign (forever and ever)
breaking benjamin,lights out
breaking benjamin,red cold river
bring me the horizon,drown
bring me the horizon,happy song
bring me the horizon,sleepwalking
bring me the horizon,mantra
broken bells,shelter
broken bells,the high road
buckcherry,dead
bullet for my valentine,your betrayal
bush,baby come home
bush,the only way out
børns,electric love
chvrches,the mother we share
cage the elephant,aberdeen
cage the elephant,around my head
cage the elephant,back against the wall
cage the elephant,cigarette dream
cage the elephant,take it or leave it
cage the elephant,cold cold cold
cage the elephant,in one ear
cage the elephant,ready to let go
cage the elephant,whole wide world
cake,long time
cake,sick of you
capital cities,safe and sound
catfish and the bottlemen,soundcheck
catfish and the bottlemen,longshot
cavo,crash
chevelle,hats off to the bull
chevelle,hunter eats hunter
chevelle,letter from a thief
chevelle,same old trip
chris cornell,nearly forgot my broken heart
chuck berry,big boys
chvrches,get out
chvrches,miracle
civil twilight,letters from the sky
cold war kids featuring bishop briggs,so tied up
cold war kids,complainer
cold war kids,first
cold war kids,love is mystical
coldplay featuring beyoncé,hymn for the weekend
coldplay,adventure of a lifetime
coldplay,charlie brown
coldplay,every teardrop is a waterfall
coldplay,magic
coleman hell,2 heads
crash kings,mountain man
crossfade,killing me inside
daft punk featuring pharrell williams,get lucky
dave grohl,from can to can't
death cab for cutie,black sun
death cab for cutie,northern lights
death cab for cutie,the ghosts of beverly drive
death cab for cutie,you are a tourist
death cab for cutie,gold rush
death from above 1979,trainwreck 1979
declan mckenna,brazil
deftones,diamond eyes
deftones,phantom bride
deftones,prayers/triangles
deftones,romantic dreams
deftones,swerve city
deftones,tempest
deftones,you've seen the butcher
dennis lloyd,nevermind
dermot kennedy,outnumbered
deuce,america
devour the day,faith
devour the day,good man
dinosaur pile-up,11:11
disclosure ft. lorde,magnets
disturbed,hell
disturbed,the animal
disturbed,warrior
dominic fike,3 nights
dreamers,sweet disaster
drowning pool,feel like i do
drowning pool,turn so cold
ed sheeran with chris stapleton & bruno mars,blow
