4x4,travis scott
72 seasons,metallica
a bar song (tipsy),shaboozey
a little bit of love,weezer
a little bit off,five finger death punch
a symptom of being human,shinedown
about damn time,lizzo
afterlife,evanescence
afterlife,five finger death punch
all my favorite songs,weezer
all my life,falling in reverse featuring jelly roll
all too well (taylor's version),taylor swift
all within my hands,metallica and san francisco symphony
alone again,asking alexandria
and so it went,the pretty reckless featuring tom morello
angel song,nothing more featuring david draiman
anti-hero,taylor swift
aperture,harry styles
apologies,three days grace
artificial,daughtry
as it was,harry styles
asking for a friend,foo fighters
atlas falls,shinedown
attention attention,shinedown
awaken,breaking benjamin
back from the dead,halestorm
back to friends,sombr
bad guy,falling in reverse featuring saraya
bad habit,steve lacy
bad things,i prevail
basic being basic,djo
beautiful people (stay high),the black keys
bedroom posters,yellowcard featuring good charlotte
beggin',maneskin
better days,yellowcard
beyond,corey taylor
black eyes blue,corey taylor
black summer,red hot chili peppers
blinding lights,the weeknd
blood in the water,ayron jones
boy,the killers
braindead,papa roach featuring toby morse
break my soul,beyonce
breathe again,pop evil
brightside,the lumineers
bruised and bloodied,seether
butter,bts
by a monster's hand,volbeat
call me little sunshine,ghost
can u see me in the dark?,halestorm and i prevail
can't slow down,almost monday
cardigan,taylor swift
carnival,ye and ty dolla sign feat. rich the kid and playboi carti
caution,the killers
choosin' texas,ella langley
city walls,twenty one pilots
cradles,sub urban
crawl back to my coffin,dayseeker
cruel summer,taylor swift
cut the line,papa roach
dance, kid, dance,shinedown
dangerous,seether
dark matter,pearl jam
dark thoughts,the funeral portrait
darkness settles in,five finger death punch
daylight,shinedown
dead inside,nita strauss and david draiman
dead man walking,jelly roll
death by rock and roll,the pretty reckless
demonic depression,volbeat
dial drunk,noah kahan and post malone
die for you,the weeknd and ariana grande
die to live,volbeat featuring neil fallon
die with a smile,lady gaga and bruno mars
different kind of love,young the giant
dilemma,green day
dissolve,absofacto
distance,mammoth wvh
don't back down,mammoth wvh
dopamine,sum 41
doubletake,edgehill
downstairs,matt maeson
dracula,tame impala
drag me,from ashes to new
drag path,twenty one pilots
drivers license,olivia rodrigo
drop dead,olivia rodrigo
dtmf,bad bunny
dying to love,bad omens
dynamite,bts
easy on me,adele
edging,blink-182
emergency contact,pierce the veil
end of you,poppy, amy lee and courtney laplante
enemy,imagine dragons and jid
ensenada,sublime
even if it kills me,papa roach
everything ends,architects
everything i wanted,billie eilish
far away,breaking benjamin featuring scooter ward
fire for you,cannons
first class,jack harlow
first person shooter,drake feat. j. cole
flowers,miley cyrus
follow you,imagine dragons
for i am death,the pretty reckless
for the glory,all good things featuring johnny 3 tears and charlie scene
fortnight,taylor swift feat. post malone
franchise,travis scott feat. young thug and m.i.a.
freakin' out,dexter and the moonrocks
freefall,nothing more featuring chris daughtry
friendly fire,linkin park
get the message,the paradox
god needs the devil,jonah kagen
golden,huntrix
good 4 u,olivia rodrigo
hallucinogenics,matt maeson
hate that i made you love me,ariana grande
heat waves,glass animals
heavy is the crown,linkin park
here to forever,death cab for cutie
hero,weezer
hey you,disturbed
hiss,megan thee stallion
history of violence,theory of a deadman
holy water,the funeral portrait featuring ivan moody
honeybee,the head and the heart
house on sand,nothing more featuring eric vanlerberghe
hunter's moon,ghost
hurricane,i prevail
i had some help,post malone feat. morgan wallen
i just might,bruno mars
i knew it, i knew you,taylor swift
i refuse,five finger death punch featuring maria brink
i remember everything,zach bryan feat. kacey musgraves
i was alive,beartooth
i will not break,disturbed
if it doesn't hurt,nothing more
industry baby,lil nas x and jack harlow
inside out,five finger death punch
is it over now?,taylor swift
janice stfu,drake
jimmy cooks,drake feat. 21 savage
judas mind,seether
just pretend,bad omens
kill bill,sza
kill me fast,three days grace
kill the noise,papa roach
killing fields,shinedown
killing me slowly,bad wolves
landmines,sum 41
last night,morgan wallen
leave a light on (talk away the dark),papa roach
leave me alone,i dont know how but they found me
leave the door open,silk sonic
let the bad times roll,the offspring
level of concern,twenty one pilots
liar,jelly roll
life goes on,bts
lifetime,three days grace
like crazy,jimin
like that,future, metro boomin and kendrick lamar
living the dream,five finger death punch
lose control,teddy swims
lost,linkin park
love brand new,bob moses
love from the other side,fall out boy
love somebody,morgan wallen
lovin on me,jack harlow
lowest in me,staind
luther,kendrick lamar and sza
lux aeterna,metallica
magnetic,wage war
making a fire,foo fighters
manchild,sabrina carpenter
masterpiece,motionless in white
mayday,three days grace
mercy,ayron jones
messy,lola young
metaverse,cage the elephant
might be right,white reaper
might love myself,beartooth
monsters,all time low featuring blackbear
montero (call me by your name),lil nas x
mood,24kgoldn feat. iann dior
my ex's best friend,machine gun kelly featuring blackbear
my mind is a mountain,deftones
my universe,coldplay and bts
my way, soon,greta van fleet
natural born killer,highly suspect
need a favor,jelly roll
neon pill,cage the elephant
never enough,turnstile
neverender,justice featuring tame impala
nice to meet you,myles smith
no apologies,papa roach
not like us,kendrick lamar
novocaine,the unlikely candidates
nowhere generation,rise against
oh yeah!,green day
one more time,blink-182
only love can save me now,the pretty reckless featuring kim thayil and matt cameron
opalite,taylor swift
ordinary,alex warren
orphans,coldplay
paint the town red,doja cat
patience,chris cornell
patient number 9,ozzy osbourne featuring jeff beck
peaches,justin bieber feat. daniel caesar and giveon
permission to dance,bts
pieces,daughtry
planet zero,shinedown
please please please,sabrina carpenter
popular monster,falling in reverse
positions,ariana grande
psycho,asking alexandria
rain on me,lady gaga and ariana grande
rainbow,cage the elephant
rapstar,polo g
records,weezer
rescue me,dirty heads
rescued,foo fighters
rich men north of richmond,oliver anthony music
rockin' around the christmas tree,brenda lee
rockstar,dababy feat. roddy ricch
running up that hill,meg myers
rushmere,mumford & sons
sad in carolina,dexter and the moonrocks
safe and sound,shinedown
same old song,the lumineers
saturday,twenty one pilots
savage,megan thee stallion feat. beyonce
savage love (laxed - siren beat),jawsh 685, jason derulo and bts
save your tears,the weeknd and ariana grande
say so,doja cat feat. nicki minaj
screaming suicide,metallica
searchlight,shinedown
self destructor,chevelle
seven,jung kook feat. latto
sex, drugs, etc.,beach weather
shame shame,foo fighters
shot in the dark,ac/dc
shotgun blues,volbeat
shy away,twenty one pilots
skeletons,pop evil
skin and bones,cage the elephant
sleepwalking,all time low
slime you out,drake feat. sza
so called life,three days grace
so cold,balu brigada
so far so fake,pierce the veil
sober,bad wolves
specter,bad omens
squabble up,kendrick lamar
stargazing,myles smith
static,sleep theory
stay,the kid laroi and justin bieber
stuck in my head,sleep theory
stuck with u,ariana grande and justin bieber
suffocate city,the funeral portrait featuring spencer charnas
super freaky girl,nicki minaj
supermodel,maneskin
surrender,godsmack
survivor,pop evil
swim,bts
texas hold 'em,beyonce
that's how i'm feeling,jack white
the american dream is killing me,green day
the bottom,daughtry
the box,roddy ricch
the contract,twenty one pilots
the dirt i'm buried in,avatar
