Almora,Tilsim
Amberian Dawn,Evil Inside Me
Amberian Dawn,River of Tuoni
Angels of Darkness,Gargoyles
Apocalyptica, S.O.S. (Anything but Love)
Apocalyptica,Hall of the Mountain King
Apocalyptica,Hope
Apocalyptica,Inquisition Symphony
Aquaria,And Let The Show Begin
Aquaria,Iara
Autumn,Satellites
Avantasia,Avantasia
Avantasia,Lost in Space
Avantasia,Twisted Mind
Beto Vázquez Infinity,Wizard
Blind Guardian,Another Stranger Me
Blind Guardian,Lionheart
Blind Guardian,The Edge
Blind Guardian,The Ninth Wave
Dark Moor,Beyond the Sea
Dark Moor,The Chariot
Delain,April Rain
Delain,Frozen
Delain,Stardust
Delain,Stay Forever
Delain,The Gathering
Derdian,Eternal Light
Derdian,I Don't Wanna Die
Divinefire,Into A New Dimension
Divinefire,Live My Life For You
Divinefire,The Show Must Go On
DragonForce,Heroes of Our Time
DragonForce,Operation Ground and Pound
DragonForce,The Game
DragonForce,Through the Fire and Flames
Dragonland,Forever Walking Alone
Dragonland,Through Elven Woods and Dwarven Mines
Edenbridge,And The Road Goes On
Edenbridge,Evermore
Edenbridge,Shadowplay
Edenbridge,The Grand Design
Epica,Chasing the Dragon
Epica,Cry for the moon
Epica,Feint
Epica,Never Enough
Epica,Sirens - Of Blood and Water
Epica,Solitary Ground
Epica,The Phantom Agony
Fairyland,Fight For Your King
Fairyland,On The Path To Fury
Fairyland,Ride With The Sun
Freedom Call,Warriors of Light
HolyHell,Apocalypse
HolyHell,The Phantom of the Opera
Kamelot,Forever
Kamelot,Ghost Opera
Kamelot,Insomnia
Kamelot,Karma
Kamelot,March of Mephisto
Kamelot,The Haunting (Somewhere In Time)
Lacuna Coil,"Blood, Tears, Dust"
Lacuna Coil,Closer
Lacuna Coil,Delirium
Lacuna Coil,Heaven's a Lie
Lacuna Coil,Layers of Time
Lacuna Coil,Our Truth
Lacuna Coil,Reckless
Lacuna Coil,Spellbound
Lacuna Coil,Swamped
Manowar,Courage
Manowar,Heart of Steel
Manowar,Sons of Odin
Manowar,Warriors of the World United
Mechanical Poet,Old Year's Merry Funeral
Mechanical Poet,Swamp-Stamp-Polka
Nightwish,"How's The Heart?"
Nightwish,Amaranth
Nightwish,Bless the Child
Nightwish,Bye Bye Beautiful
Nightwish,Ever Dream
Nightwish,Ghost Love Score
Nightwish,Nemo
Nightwish,Our Decades in the Sun
Nightwish,Over the Hills and Far Away
Nightwish,Storytime
Nightwish,The Islander
Nightwish,The Poet and the Pendulum
Nightwish,The Siren
Nightwish,While My Lips Are Still Red
Nightwish,Wish I had An Angel
Nightwish,Élan
Rhapsody of Fire,Triumph or Agony
Rhapsody,Dawn Of Victory
Rhapsody,Emerald Sword
Rhapsody,Unholy Warcry
Savatage,Commissar
Savatage,Edge of Thorns
Savatage,Gutter Ballet
Serenity,Engraved Within
Serenity,The Heartblood Symphony
Serenity,Velatum
Sonata Arctica,Caleb
Stratovarius,A Million Lightyears Away
Stratovarius,Black Diamond
Stratovarius,Eagleheart
Stratovarius,Hunting High And Low
Symphony X,Domination
Symphony X,Set the World on Fire (The Lie of Lies)
Symphony X,The Accolade
Symphony X,The Divine Wings of Tragedy
Therion,Eye of Shiva
Therion,The Siren of the Woods
Therion,Wand of Abaris
Thy Majestie,Anger of Fate
Thy Majestie,As You Fall
Trans-Siberian Orchestra,A Mad Russian's Christmas
Trans-Siberian Orchestra,Christmas Eve/Sarajevo 12/24
Trans-Siberian Orchestra,Siberian Sleigh Ride
Versailles -Philharmonic Quintet,Aristocrat's Symphony
Within Temptation,Faster
Within Temptation,Frozen
Within Temptation,Ice Queen
Within Temptation,Memories
Within Temptation,Raise Your Banner
Within Temptation,Sinéad
Within Temptation,Stand My Ground
Within Temptation,What Have You Done
Xandria,"Now & Forever"
Xandria,India
Xandria,Like a Rose on the Grave of Love
Xandria,Mermaids
Xandria,Ravenheart
Xandria,Sisters of the Light
