B. J. Thomas,Raindrops Keep Fallin On My Head
The Jackson 5,I Want You Back
Shocking Blue,Venus
Sly & the Family Stone,Thank You (Falettinme Be Mice Elf Agin)
Sly & the Family Stone,Everybody Is a Star
Simon & Garfunkel,Bridge Over Troubled Water
The Beatles,Let It Be
The Jackson 5,ABC
The Guess Who,American Woman
The Guess Who,No Sugar Tonight
Ray Stevens,Everything Is Beautiful
The Beatles,The Long and Winding Road
The Beatles,For You Blue
The Jackson 5,The Love You Save
Three Dog Night,Mama Told Me (Not to Come)
The Carpenters,(They Long to Be) Close to You
Bread,Make It with You
Edwin Starr,War
Diana Ross,Aint No Mountain High Enough
Neil Diamond,Cracklin Rosie
The Jackson 5,Ill Be There
The Partridge Family,I Think I Love You
Smokey Robinson & the Miracles,The Tears of a Clown
George Harrison,My Sweet Lord
George Harrison,Isnt It a Pity
Tony Orlando and Dawn,Knock Three Times
The Osmonds,One Bad Apple
Janis Joplin,Me and Bobby McGee
The Temptations,Just My Imagination (Running Away with Me)
Three Dog Night,Joy to the World
The Rolling Stones,Brown Sugar
The Honey Cone,Want Ads
Carole King,Its Too Late
Carole King,I Feel the Earth Move
Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian)
James Taylor,Youve Got a Friend
Bee Gees,How Can You Mend a Broken Heart
Paul McCartney and Linda McCartney,Uncle Albert/Admiral Halsey
Donny Osmond,Go Away Little Girl
Rod Stewart,Maggie May
Rod Stewart,Reason to Believe
Cher,Gypsys, Tramps & Thieves
Isaac Hayes,Theme from Shaft
Sly and the Family Stone,Family Affair
Melanie,Brand New Key
Don McLean,American Pie
Al Green,Lets Stay Together
Nilsson,Without You
Neil Young,Heart of Gold
America,A Horse with No Name
Roberta Flack,The First Time Ever I Saw Your Face
The Chi-Lites,Oh Girl
The Staple Singers,Ill Take You There
Sammy Davis Jr.,Candy Man
Neil Diamond,Song Sung Blue
Bill Withers,Lean On Me
Gilbert OSullivan,Alone Again (Naturally)
Looking Glass,Brandy (Youre a Fine Girl)
Three Dog Night,Black and White
Mac Davis,Baby, Dont Get Hooked on Me
Michael Jackson,Ben
Chuck Berry,My Ding-a-Ling
Johnny Nash,I Can See Clearly Now
The Temptations,Papa Was a Rollin Stone
Helen Reddy,I Am Woman
Billy Paul,Me and Mrs. Jones
Carly Simon,Youre So Vain
Stevie Wonder,Superstition
Elton John,Crocodile Rock
Roberta Flack,Killing Me Softly with His Song
The OJays,Love Train
Vicki Lawrence,The Night the Lights Went Out in Georgia
Tony Orlando and Dawn,Tie a Yellow Ribbon Round the Ole Oak Tree♪ (1973)
Stevie Wonder,You Are the Sunshine of My Life
The Edgar Winter Group,Frankenstein
Paul McCartney and Wings,My Love
George Harrison,Give Me Love (Give Me Peace On Earth)
Billy Preston,Will It Go Round in Circles
Jim Croce,Bad, Bad Leroy Brown
Maureen McGovern,The Morning After
Diana Ross,Touch Me in the Morning
Stories,Brother Louie
Marvin Gaye,Lets Get It On
Helen Reddy,Delta Dawn
Grand Funk,Were an American Band
Cher,Half-Breed
The Rolling Stones,Angie
Gladys Knight & the Pips,Midnight Train to Georgia
Eddie Kendricks,Keep On Truckin
Ringo Starr,Photograph
The Carpenters,Top of the World
Charlie Rich,The Most Beautiful Girl
Jim Croce,Time in a Bottle
Steve Miller Band,The Joker
Al Wilson,Show and Tell
Ringo Starr,Youre Sixteen
Barbra Streisand,The Way We Were
Love Unlimited Orchestra,Loves Theme
Terry Jacks,Seasons in the Sun
Cher,Dark Lady
John Denver,Sunshine on My Shoulders
Blue Swede,Hooked on a Feeling
Elton John,Bennie and the Jets
MFSB and The Three Degrees,TSOP
Grand Funk,The Loco-Motion
Ray Stevens,The Streak
Paul McCartney and Wings,Band on the Run
Bo Donaldson and The Heywoods,Billy, Dont Be a Hero
Gordon Lightfoot,Sundown
The Hues Corporation,Rock the Boat
George McCrae,Rock Your Baby
John Denver,Annies Song
Roberta Flack,Feel Like Makin Love
Paper Lace,The Night Chicago Died
Paul Anka and Odia Coates,(Youre) Having My Baby
Eric Clapton,I Shot the Sheriff
Barry White,Cant Get Enough of Your Love, Babe
Andy Kim,Rock Me Gently
Olivia Newton-John,I Honestly Love You
